Word,Meaning
a,"a (a') m.dh Xarafka koowaad ee xuruufta af soomaaliga, ahna shaqal gaaban."
aa',"aa' f.g1 (-'ay, -'day) 1. Cid ama wax garaacid, u cagajuglayn. 2. Dagaallamid."
aa'id,"aa'id m.f.dh eeg aa'."
Aabayeelid,"Aabayeelid m.f.dh eeg aabayeel². ld aabayeel¹ (2), aabeyeelid."
Aabayeel²,"Aabayeel² f.mg1 (-yeelay, -yeshay) U a.: qaddarin ama tixgelin cid siin."
Aabayeel¹,"Aabayeel¹ m.l 1. A. ah: qaddarinta ama tixgelinta cid la siiyo. 2. ld aabayeelid."
Aabayn,"Aabayn m.f.dh eeg aabee."
Aabbannimo,"Aabbannimo m.dh Aabbe ahaansho."
Aabbayaal,"Aabbayaal m.l/dh 1. eeg aabbe. 2. Awooweyaashii hore. ld aabbeyaal."
Aabbe,"Aabbe m.l (-bayaal, m.l/m.dh) 1. Nin ubad dhalay. 2. (u.j) Aabbow!; wiilkaygiyow! ld aabbo."
Aabbo,"Aabbo u.j ld aabbe."
aabburan²,"aabburan² f.mg4 (-rnaa, -rnayd) Dhiil, haan iwm wax la aabburay ahaansho. Tus. “Weelku waa aabburanyahay”."
aabburan¹,"aabburan¹ f.mg1 (-rmay., -rantay, -rmi) Dhiil, haan iwm wax la aabburay noqosho. Tus. “Weelku waa aabburmay”."
aabburid,"aabburid m.f.dh eeg aabbur²."
aabburmid,"aabburmid m.f.dh eeg aabburan¹."
aabburnaan,"aabburnaan m.f.dh eeg aabburan². ld aabburnaansho."
aabburnaansho,"aabburnaansho m.l/dh ld aabburnaan."
aabbur²,"aabbur² f.g1 (-ray, -rtay) Dhiil, haan iwm weel yar oo wax lagu shuban karo afka kaga xirid."
aabbur¹,"aabbur¹ m.l (-rro, m.dh) Weel yar, wax lagu shuban karo, oo dhiilaha, haamaha iwm afka lagaga xiro."
Aabee,"Aabee f.g2 (-beeyay, -beysay) 1. Cid qaddarin ama tixgelin siin. 2. Weel asal iyo xaydh marin, si uusan biyaha, caanaha iwm u habin."
Aabeyeelid,"Aabeyeelid m.f.dh ld aabayeelid."
Aabi,"Aabi m.l Gardarro isla weyni iyo kibir ku jiro oo cid lagula muujiyo."
aabiweyrax,"aabiweyrax m.l Sabab la'aan cid dagaal ku qaadid, weyrax kulul."
Aabo,"Aabo m.l Dareen naxariis, rabitaan iyo xurmayn leh oo qof qof kale u hayo."
Aabonimo,"Aabonimo m.dh (siyaa.) Mowqifka dawlad, ama mujtamac kale ku muujinayaan in ay go'aan kasta u sameeyaan dadka ay mas'uulka ka yihiin."
Aabyoo,"Aabyoo f.mg3 (-ooday, -ootay) Ku aa.: cid xumaan aanay mutaysan kula kicid."
Aabyood,"Aabyood m.f.l eeg aabyoo."
Aad,"Aad mu.dhm.y Magacuyaal tilmaama qofka labaad ee kelida ah (lala hadlaha ama wax loo qoraha). “Ninka aad la hadashay waa walaalkay”. ld aa², aydin."
aadaab,"aadaab m.dh 1. Anshax iyo dhaqan wanaagsan oo cidi leedahay. 2. Anshax iyo dhaqan ay cidi leedahay."
aadaamid,"aadaamid m.f.dh eeg aadaan². ld aadaan¹, aaddamid, aaddaan¹, eedaamid, eedaan¹."
